BUG_ISSUES_TIME,PERFORMANCE,LDC,SECURITY_BUG_ISSUES,NOISE,SECURITY_BUG_ISSUES_CONT,SECURITY_BUG_ISSUES_KLOC_TIME,LCOM5,RFC,BUG_ISSUES,CBO,BUG_ISSUES_CONT,SECURITY_BUG_ISSUES_KLOC,vendor,CORRECTNESS,AVG_OPEN_TIME_DAYS_CONT,MEDIUM_PRIO,MT_CORRECTNESS,AVG_OPEN_TIME_DAYS_KLOC,LOCpC,SECURITY_BUG_ISSUES_TIME,CONTRIBUTOR,product,NOC,MALICIOUS_CODE,VIOLOATION,STYLE,LOW_PRIO,HIGH_PRIO,WMC,version,DIT,BUG_ISSUES_KLOC,DIT_MAX,BAD_PRACTICE,AVG_OPEN_TIME_DAYS,LLOC,SECURITY,AVG_OPEN_TIME_DAYS_TIME,BUG_ISSUES_KLOC_TIME,I18N
8.94,0.0,13.13,11.00,0.0,0.51,0.07,1.58,11.44,48.00,5.59,2.23,0.35,antlr,0.0,6.83,0.0,0.0,4.67,71.98,2.05,21.50,antlr4,0.56,0.0,0.0,0.0,0.0,0.0,14.41,4.0,1.32,1.53,6.0,0.0,146.81,31455.00,0.0,27.36,0.28,0.0
8.26,0.0,13.49,7.00,0.0,0.33,0.03,1.55,11.72,60.00,5.58,2.79,0.21,antlr,0.0,2.50,0.0,0.0,1.65,73.55,0.96,21.50,antlr4,0.56,0.0,0.0,0.0,0.0,0.0,14.57,4.1,1.32,1.84,6.0,0.0,53.85,32658.00,0.0,7.41,0.25,0.0
14.69,0.0,13.81,4.00,0.0,0.19,0.07,1.58,11.97,24.00,5.75,1.12,0.11,antlr,0.0,1.02,0.0,0.0,0.60,74.97,2.45,21.50,antlr4,0.55,0.0,0.0,0.0,0.0,0.0,14.91,4.2,1.29,0.66,6.0,0.0,22.00,36585.00,0.0,13.47,0.40,0.0
4.62,0.0,14.2,0.00,0.0,0.00,0.00,1.58,12.0,2.00,5.75,0.09,0.00,antlr,0.0,0.06,0.0,0.0,0.04,75.49,0.00,21.50,antlr4,0.55,0.0,0.0,0.0,0.0,0.0,14.97,4.2.1,1.29,0.05,6.0,0.0,1.33,36839.00,0.0,3.08,0.13,0.0
13.97,0.0,14.22,1.00,0.0,0.05,0.01,1.58,12.05,34.00,5.76,1.58,0.03,antlr,0.0,6.10,0.0,0.0,3.54,75.9,0.41,21.50,antlr4,0.55,0.0,0.0,0.0,0.0,0.0,15.07,4.2.2,1.29,0.92,6.0,0.0,131.15,37041.00,0.0,53.90,0.38,0.0
8.89,0.0,14.5,0.00,0.0,0.00,0.00,1.57,12.08,8.00,5.78,0.37,0.00,antlr,0.0,2.15,0.0,0.0,1.20,76.49,0.00,21.50,antlr4,0.55,0.0,0.0,0.0,0.0,0.0,15.11,4.3,1.26,0.21,6.0,0.0,46.25,38397.00,0.0,51.39,0.23,0.0
7.54,0.0,14.58,3.00,0.0,0.14,0.01,1.57,12.19,48.00,5.84,2.23,0.08,antlr,0.0,2.53,0.0,0.0,1.40,77.16,0.47,21.50,antlr4,0.55,0.0,0.0,0.0,0.0,0.0,15.22,4.4,1.26,1.24,6.0,0.0,54.30,38655.00,0.0,8.53,0.20,0.0
16.86,0.0,8.31,9.00,0.0,0.42,0.05,0.88,7.14,59.00,3.93,2.74,0.18,antlr,0.0,1.00,0.0,0.0,0.43,43.32,2.57,21.50,antlr4,0.75,0.0,0.0,0.0,0.0,0.0,8.42,4.6,1.97,1.19,7.0,0.0,21.45,49466.00,0.0,6.13,0.34,0.0
13.11,0.0,8.57,11.00,0.0,0.51,0.02,0.97,7.35,111.00,3.93,5.16,0.21,antlr,0.0,5.29,0.0,0.0,2.14,45.57,1.30,21.50,antlr4,0.73,0.0,0.0,0.0,0.0,0.0,8.65,4.7,1.94,2.09,7.0,0.0,113.77,53133.00,0.0,13.44,0.25,0.0
9.06,0.0,8.41,23.00,0.0,1.07,0.03,0.97,7.34,113.00,3.95,5.26,0.43,antlr,0.0,2.39,0.0,0.0,0.95,45.88,1.84,21.50,antlr4,0.73,0.0,0.0,0.0,0.0,0.0,8.68,4.7.1,1.94,2.10,7.0,0.0,51.33,53913.00,0.0,4.12,0.17,0.0
7.41,0.0,8.38,16.00,0.0,0.74,0.02,0.97,7.35,98.00,3.95,4.56,0.30,antlr,0.0,2.54,0.0,0.0,1.01,45.93,1.21,21.50,antlr4,0.73,0.0,0.0,0.0,0.0,0.0,8.7,4.7.2,1.94,1.81,7.0,0.0,54.53,54017.00,0.0,4.12,0.14,0.0
7.62,0.0,8.52,13.00,0.0,0.60,0.02,0.98,7.35,77.00,3.95,3.58,0.24,antlr,0.0,1.12,0.0,0.0,0.44,45.87,1.29,21.50,antlr4,0.73,0.0,0.0,0.0,0.0,0.0,8.66,4.8,1.92,1.40,7.0,0.0,24.10,54909.00,0.0,2.39,0.14,0.0
